gd, mm, dd, it, volume, hist_volume, weather
3,9,26,7,12,16 16 21 12 11 9,100.84 101.33 38.375 1.3 24.1 83.0 0.0
4,9,26,7,4,88 80 9 12 10 9,100.84 101.33 38.375 1.3 24.1 83.0 0.0
0,9,26,8,5,11 2 2 7 8 9,100.84 101.33 38.375 1.3 24.1 83.0 0.0
1,9,26,8,9,43 3 12 7 8 4,100.84 101.33 38.375 1.3 24.1 83.0 0.0
2,9,26,8,11,2 2 2 11 11 11,100.84 101.33 38.375 1.3 24.1 83.0 0.0
3,9,26,8,22,16 21 12 11 9 12,100.84 101.33 38.375 1.3 24.1 83.0 0.0
4,9,26,8,3,80 9 12 10 9 4,100.84 101.33 38.375 1.3 24.1 83.0 0.0
0,9,26,9,9,2 2 7 8 9 5,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,9,11,3 12 7 8 4 9,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,9,11,2 2 11 11 11 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,9,11,21 12 11 9 12 22,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,9,4,9 12 10 9 4 3,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,10,6,2 7 8 9 5 9,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,10,13,12 7 8 4 9 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,10,11,2 11 11 11 11 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,10,10,12 11 9 12 22 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,10,9,12 10 9 4 3 4,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,11,8,7 8 9 5 9 6,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,11,16,7 8 4 9 11 13,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,11,11,11 11 11 11 11 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,11,17,11 9 12 22 11 10,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,11,6,10 9 4 3 4 9,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,12,7,8 9 5 9 6 8,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,12,15,8 4 9 11 13 16,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,12,11,11 11 11 11 11 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,12,18,9 12 22 11 10 17,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,12,4,9 4 3 4 9 6,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,13,13,9 5 9 6 8 7,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,13,21,4 9 11 13 16 15,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,13,11,11 11 11 11 11 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,13,16,12 22 11 10 17 18,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,13,5,4 3 4 9 6 4,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,14,13,5 9 6 8 7 13,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,14,23,9 11 13 16 15 21,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,14,11,11 11 11 11 11 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,14,17,22 11 10 17 18 16,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,14,9,3 4 9 6 4 5,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,15,6,9 6 8 7 13 13,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,15,21,11 13 16 15 21 23,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,15,11,11 11 11 11 11 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,15,9,11 10 17 18 16 17,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,15,12,4 9 6 4 5 9,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,16,4,6 8 7 13 13 6,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,16,37,13 16 15 21 23 21,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,16,13,11 11 11 11 11 11,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,16,16,10 17 18 16 17 9,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,16,9,9 6 4 5 9 12,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,17,10,8 7 13 13 6 4,100.77 101.26 21.75 1.6 28.5 57.0 0.0
1,9,26,17,42,16 15 21 23 21 37,100.77 101.26 21.75 1.6 28.5 57.0 0.0
2,9,26,17,27,11 11 11 11 11 13,100.77 101.26 21.75 1.6 28.5 57.0 0.0
3,9,26,17,26,17 18 16 17 9 16,100.77 101.26 21.75 1.6 28.5 57.0 0.0
4,9,26,17,14,6 4 5 9 12 9,100.77 101.26 21.75 1.6 28.5 57.0 0.0
0,9,26,18,13,7 13 13 6 4 10,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,18,31,15 21 23 21 37 42,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,18,25,11 11 11 11 13 27,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,18,42,18 16 17 9 16 26,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,18,22,4 5 9 12 9 14,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,19,23,13 13 6 4 10 13,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,19,61,21 23 21 37 42 31,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,19,40,11 11 11 13 27 25,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,19,67,16 17 9 16 26 42,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,19,49,5 9 12 9 14 22,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,20,39,13 6 4 10 13 23,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,20,66,23 21 37 42 31 61,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,20,73,11 11 13 27 25 40,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,20,92,17 9 16 26 42 67,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,20,66,9 12 9 14 22 49,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,21,44,6 4 10 13 23 39,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,21,91,21 37 42 31 61 66,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,21,88,11 13 27 25 40 73,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,21,159,9 16 26 42 67 92,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,21,83,12 9 14 22 49 66,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,22,39,4 10 13 23 39 44,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,22,120,37 42 31 61 66 91,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,22,114,13 27 25 40 73 88,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,22,162,16 26 42 67 92 159,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,22,87,9 14 22 49 66 83,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,23,46,10 13 23 39 44 39,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,23,116,42 31 61 66 91 120,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,23,126,27 25 40 73 88 114,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,23,151,26 42 67 92 159 162,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,23,137,14 22 49 66 83 87,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,24,49,13 23 39 44 39 46,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,24,125,31 61 66 91 120 116,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,24,117,25 40 73 88 114 126,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,24,180,42 67 92 159 162 151,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,24,138,22 49 66 83 87 137,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,25,52,23 39 44 39 46 49,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,25,91,61 66 91 120 116 125,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,25,130,40 73 88 114 126 117,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,25,172,67 92 159 162 151 180,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,25,164,49 66 83 87 137 138,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,26,45,39 44 39 46 49 52,100.54 101.03 4.625 4.1 30.3 56.0 0.0
1,9,26,26,116,66 91 120 116 125 91,100.54 101.03 4.625 4.1 30.3 56.0 0.0
2,9,26,26,121,73 88 114 126 117 130,100.54 101.03 4.625 4.1 30.3 56.0 0.0
3,9,26,26,170,92 159 162 151 180 172,100.54 101.03 4.625 4.1 30.3 56.0 0.0
4,9,26,26,150,66 83 87 137 138 164,100.54 101.03 4.625 4.1 30.3 56.0 0.0
0,9,26,27,48,44 39 46 49 52 45,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,27,120,91 120 116 125 91 116,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,27,126,88 114 126 117 130 121,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,27,136,159 162 151 180 172 170,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,27,145,83 87 137 138 164 150,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,28,52,39 46 49 52 45 48,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,28,130,120 116 125 91 116 120,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,28,120,114 126 117 130 121 126,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,28,148,162 151 180 172 170 136,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,28,113,87 137 138 164 150 145,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,29,51,46 49 52 45 48 52,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,29,102,116 125 91 116 120 130,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,29,81,126 117 130 121 126 120,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,29,117,151 180 172 170 136 148,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,29,104,137 138 164 150 145 113,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,30,47,49 52 45 48 52 51,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,30,89,125 91 116 120 130 102,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,30,78,117 130 121 126 120 81,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,30,112,180 172 170 136 148 117,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,30,85,138 164 150 145 113 104,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,31,52,52 45 48 52 51 47,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,31,105,91 116 120 130 102 89,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,31,57,130 121 126 120 81 78,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,31,105,172 170 136 148 117 112,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,31,88,164 150 145 113 104 85,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,32,36,45 48 52 51 47 52,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,32,82,116 120 130 102 89 105,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,32,58,121 126 120 81 78 57,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,32,100,170 136 148 117 112 105,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,32,93,150 145 113 104 85 88,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,33,36,48 52 51 47 52 36,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,33,78,120 130 102 89 105 82,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,33,65,126 120 81 78 57 58,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,33,103,136 148 117 112 105 100,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,33,60,145 113 104 85 88 93,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,34,35,52 51 47 52 36 36,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,34,81,130 102 89 105 82 78,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,34,47,120 81 78 57 58 65,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,34,74,148 117 112 105 100 103,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,34,76,113 104 85 88 93 60,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,35,52,51 47 52 36 36 35,100.56 101.05 10.125 2.6 28.9 66.0 0.0
1,9,26,35,72,102 89 105 82 78 81,100.56 101.05 10.125 2.6 28.9 66.0 0.0
2,9,26,35,62,81 78 57 58 65 47,100.56 101.05 10.125 2.6 28.9 66.0 0.0
3,9,26,35,112,117 112 105 100 103 74,100.56 101.05 10.125 2.6 28.9 66.0 0.0
4,9,26,35,54,104 85 88 93 60 76,100.56 101.05 10.125 2.6 28.9 66.0 0.0
0,9,26,36,48,47 52 36 36 35 52,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,36,71,89 105 82 78 81 72,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,36,63,78 57 58 65 47 62,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,36,66,112 105 100 103 74 112,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,36,79,85 88 93 60 76 54,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,37,37,52 36 36 35 52 48,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,37,89,105 82 78 81 72 71,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,37,71,57 58 65 47 62 63,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,37,82,105 100 103 74 112 66,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,37,82,88 93 60 76 54 79,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,38,48,36 36 35 52 48 37,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,38,82,82 78 81 72 71 89,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,38,72,58 65 47 62 63 71,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,38,95,100 103 74 112 66 82,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,38,84,93 60 76 54 79 82,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,39,54,36 35 52 48 37 48,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,39,87,78 81 72 71 89 82,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,39,61,65 47 62 63 71 72,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,39,98,103 74 112 66 82 95,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,39,87,60 76 54 79 82 84,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,40,49,35 52 48 37 48 54,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,40,92,81 72 71 89 82 87,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,40,51,47 62 63 71 72 61,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,40,117,74 112 66 82 95 98,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,40,77,76 54 79 82 84 87,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,41,49,52 48 37 48 54 49,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,41,93,72 71 89 82 87 92,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,41,64,62 63 71 72 61 51,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,41,111,112 66 82 95 98 117,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,41,89,54 79 82 84 87 77,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,42,44,48 37 48 54 49 49,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,42,92,71 89 82 87 92 93,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,42,52,63 71 72 61 51 64,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,42,104,66 82 95 98 117 111,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,42,110,79 82 84 87 77 89,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,43,29,37 48 54 49 49 44,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,43,108,89 82 87 92 93 92,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,43,90,71 72 61 51 64 52,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,43,146,82 95 98 117 111 104,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,43,98,82 84 87 77 89 110,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,44,63,48 54 49 49 44 29,100.7 101.19 12.0 3.5 26.4 78.0 0.0
1,9,26,44,87,82 87 92 93 92 108,100.7 101.19 12.0 3.5 26.4 78.0 0.0
2,9,26,44,77,72 61 51 64 52 90,100.7 101.19 12.0 3.5 26.4 78.0 0.0
3,9,26,44,117,95 98 117 111 104 146,100.7 101.19 12.0 3.5 26.4 78.0 0.0
4,9,26,44,77,84 87 77 89 110 98,100.7 101.19 12.0 3.5 26.4 78.0 0.0
0,9,26,45,33,54 49 49 44 29 63,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,45,92,87 92 93 92 108 87,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,45,76,61 51 64 52 90 77,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,45,97,98 117 111 104 146 117,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,45,102,87 77 89 110 98 77,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,46,51,49 49 44 29 63 33,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,46,108,92 93 92 108 87 92,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,46,71,51 64 52 90 77 76,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,46,116,117 111 104 146 117 97,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,46,77,77 89 110 98 77 102,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,47,43,49 44 29 63 33 51,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,47,83,93 92 108 87 92 108,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,47,72,64 52 90 77 76 71,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,47,98,111 104 146 117 97 116,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,47,93,89 110 98 77 102 77,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,48,44,44 29 63 33 51 43,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,48,106,92 108 87 92 108 83,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,48,64,52 90 77 76 71 72,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,48,118,104 146 117 97 116 98,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,48,82,110 98 77 102 77 93,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,49,56,29 63 33 51 43 44,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,49,112,108 87 92 108 83 106,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,49,75,90 77 76 71 72 64,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,49,121,146 117 97 116 98 118,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,49,89,98 77 102 77 93 82,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,50,46,63 33 51 43 44 56,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,50,103,87 92 108 83 106 112,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,50,73,77 76 71 72 64 75,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,50,136,117 97 116 98 118 121,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,50,78,77 102 77 93 82 89,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,51,47,33 51 43 44 56 46,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,51,106,92 108 83 106 112 103,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,51,71,76 71 72 64 75 73,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,51,120,97 116 98 118 121 136,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,51,85,102 77 93 82 89 78,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,52,42,51 43 44 56 46 47,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,52,112,108 83 106 112 103 106,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,52,67,71 72 64 75 73 71,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,52,106,116 98 118 121 136 120,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,52,90,77 93 82 89 78 85,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,53,30,43 44 56 46 47 42,100.71 101.2 39.375 0.8 25.4 86.0 0.0
1,9,26,53,102,83 106 112 103 106 112,100.71 101.2 39.375 0.8 25.4 86.0 0.0
2,9,26,53,63,72 64 75 73 71 67,100.71 101.2 39.375 0.8 25.4 86.0 0.0
3,9,26,53,101,98 118 121 136 120 106,100.71 101.2 39.375 0.8 25.4 86.0 0.0
4,9,26,53,82,93 82 89 78 85 90,100.71 101.2 39.375 0.8 25.4 86.0 0.0
0,9,26,54,33,44 56 46 47 42 30,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,54,74,106 112 103 106 112 102,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,54,63,64 75 73 71 67 63,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,54,95,118 121 136 120 106 101,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,54,91,82 89 78 85 90 82,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,55,22,56 46 47 42 30 33,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,55,85,112 103 106 112 102 74,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,55,52,75 73 71 67 63 63,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,55,88,121 136 120 106 101 95,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,55,55,89 78 85 90 82 91,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,56,29,46 47 42 30 33 22,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,56,54,103 106 112 102 74 85,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,56,48,73 71 67 63 63 52,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,56,62,136 120 106 101 95 88,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,56,70,78 85 90 82 91 55,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,57,31,47 42 30 33 22 29,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,57,50,106 112 102 74 85 54,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,57,35,71 67 63 63 52 48,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,57,64,120 106 101 95 88 62,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,57,59,85 90 82 91 55 70,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,58,15,42 30 33 22 29 31,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,58,55,112 102 74 85 54 50,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,58,37,67 63 63 52 48 35,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,58,49,106 101 95 88 62 64,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,58,57,90 82 91 55 70 59,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,59,22,30 33 22 29 31 15,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,59,47,102 74 85 54 50 55,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,59,32,63 63 52 48 35 37,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,59,48,101 95 88 62 64 49,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,59,52,82 91 55 70 59 57,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,60,19,33 22 29 31 15 22,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,60,33,74 85 54 50 55 47,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,60,35,63 52 48 35 37 32,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,60,49,95 88 62 64 49 48,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,60,44,91 55 70 59 57 52,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,61,19,22 29 31 15 22 19,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,61,38,85 54 50 55 47 33,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,61,35,52 48 35 37 32 35,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,61,40,88 62 64 49 48 49,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,61,58,55 70 59 57 52 44,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,62,24,29 31 15 22 19 19,100.57 101.06 5.75 1.3 24.7 92.0 0.0
1,9,26,62,32,54 50 55 47 33 38,100.57 101.06 5.75 1.3 24.7 92.0 0.0
2,9,26,62,44,48 35 37 32 35 35,100.57 101.06 5.75 1.3 24.7 92.0 0.0
3,9,26,62,49,62 64 49 48 49 40,100.57 101.06 5.75 1.3 24.7 92.0 0.0
4,9,26,62,33,70 59 57 52 44 58,100.57 101.06 5.75 1.3 24.7 92.0 0.0
0,9,26,63,14,31 15 22 19 19 24,100.57 101.06 10.875 1.5 24.9 90.0 0.0
1,9,26,63,33,50 55 47 33 38 32,100.57 101.06 10.875 1.5 24.9 90.0 0.0
