"tollgate_id","time_window","direction","volume","has_etc","car_model"
"3","(2016-09-25 17:00:00,2016-09-25 17:20:00)","0","119","33","[0, 91, 26, 0, 2, 0, 0, 0]"
"2","(2016-09-25 17:00:00,2016-09-25 17:20:00)","0","84","23","[0, 82, 2, 0, 0, 0, 0, 0]"
"1","(2016-09-25 17:20:00,2016-09-25 17:40:00)","1","104","34","[0, 97, 1, 1, 3, 2, 0, 0]"
"1","(2016-09-25 17:20:00,2016-09-25 17:40:00)","0","49","12","[0, 48, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-25 17:20:00,2016-09-25 17:40:00)","1","84","21","[0, 77, 3, 0, 0, 4, 0, 0]"
"3","(2016-09-25 17:20:00,2016-09-25 17:40:00)","0","110","26","[0, 88, 17, 2, 3, 0, 0, 0]"
"2","(2016-09-25 17:20:00,2016-09-25 17:40:00)","0","77","23","[0, 73, 4, 0, 0, 0, 0, 0]"
"1","(2016-09-25 17:40:00,2016-09-25 18:00:00)","1","84","27","[0, 77, 2, 1, 2, 2, 0, 0]"
"1","(2016-09-25 17:40:00,2016-09-25 18:00:00)","0","42","8","[0, 42, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-25 17:40:00,2016-09-25 18:00:00)","1","82","19","[0, 74, 2, 3, 0, 3, 0, 0]"
"3","(2016-09-25 17:40:00,2016-09-25 18:00:00)","0","105","23","[0, 89, 11, 0, 5, 0, 0, 0]"
"2","(2016-09-25 17:40:00,2016-09-25 18:00:00)","0","56","18","[0, 50, 6, 0, 0, 0, 0, 0]"
"1","(2016-09-25 18:00:00,2016-09-25 18:20:00)","1","69","16","[0, 60, 2, 1, 3, 3, 0, 0]"
"1","(2016-09-25 18:00:00,2016-09-25 18:20:00)","0","56","15","[0, 56, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-25 18:00:00,2016-09-25 18:20:00)","1","75","15","[0, 72, 1, 2, 0, 0, 0, 0]"
"3","(2016-09-25 18:00:00,2016-09-25 18:20:00)","0","94","16","[0, 77, 15, 0, 2, 0, 0, 0]"
"2","(2016-09-25 18:00:00,2016-09-25 18:20:00)","0","71","11","[0, 63, 8, 0, 0, 0, 0, 0]"
"1","(2016-09-25 18:20:00,2016-09-25 18:40:00)","1","61","12","[0, 52, 5, 0, 1, 3, 0, 0]"
"1","(2016-09-25 18:20:00,2016-09-25 18:40:00)","0","38","16","[0, 35, 2, 1, 0, 0, 0, 0]"
"3","(2016-09-25 18:20:00,2016-09-25 18:40:00)","1","88","23","[0, 83, 5, 0, 0, 0, 0, 0]"
"3","(2016-09-25 18:20:00,2016-09-25 18:40:00)","0","85","19","[0, 73, 11, 0, 1, 0, 0, 0]"
"2","(2016-09-25 18:20:00,2016-09-25 18:40:00)","0","66","15","[0, 61, 4, 1, 0, 0, 0, 0]"
"1","(2016-09-25 18:40:00,2016-09-25 19:00:00)","1","62","15","[0, 61, 0, 0, 1, 0, 0, 0]"
"1","(2016-09-25 18:40:00,2016-09-25 19:00:00)","0","31","6","[0, 28, 3, 0, 0, 0, 0, 0]"
"3","(2016-09-25 18:40:00,2016-09-25 19:00:00)","1","71","20","[0, 67, 1, 0, 1, 2, 0, 0]"
"3","(2016-09-25 18:40:00,2016-09-25 19:00:00)","0","78","16","[0, 64, 14, 0, 0, 0, 0, 0]"
"2","(2016-09-25 18:40:00,2016-09-25 19:00:00)","0","41","11","[0, 34, 6, 0, 1, 0, 0, 0]"
"1","(2016-09-25 19:00:00,2016-09-25 19:20:00)","1","51","9","[0, 47, 3, 1, 0, 0, 0, 0]"
"1","(2016-09-25 19:00:00,2016-09-25 19:20:00)","0","37","18","[1, 33, 1, 1, 1, 0, 0, 0]"
"3","(2016-09-25 19:00:00,2016-09-25 19:20:00)","1","66","19","[0, 62, 2, 1, 0, 1, 0, 0]"
"3","(2016-09-25 19:00:00,2016-09-25 19:20:00)","0","76","15","[0, 65, 8, 0, 3, 0, 0, 0]"
"2","(2016-09-25 19:00:00,2016-09-25 19:20:00)","0","43","14","[0, 41, 2, 0, 0, 0, 0, 0]"
"1","(2016-09-25 19:20:00,2016-09-25 19:40:00)","1","52","11","[0, 51, 0, 1, 0, 0, 0, 0]"
"1","(2016-09-25 19:20:00,2016-09-25 19:40:00)","0","42","18","[0, 40, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-25 19:20:00,2016-09-25 19:40:00)","1","69","15","[0, 65, 1, 1, 1, 1, 0, 0]"
"3","(2016-09-25 19:20:00,2016-09-25 19:40:00)","0","78","18","[0, 65, 12, 1, 0, 0, 0, 0]"
"2","(2016-09-25 19:20:00,2016-09-25 19:40:00)","0","44","12","[0, 40, 4, 0, 0, 0, 0, 0]"
"1","(2016-09-25 19:40:00,2016-09-25 20:00:00)","1","62","17","[0, 58, 2, 1, 0, 1, 0, 0]"
"1","(2016-09-25 19:40:00,2016-09-25 20:00:00)","0","28","7","[0, 26, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-25 19:40:00,2016-09-25 20:00:00)","1","73","17","[0, 67, 3, 1, 0, 2, 0, 0]"
"3","(2016-09-25 19:40:00,2016-09-25 20:00:00)","0","53","14","[0, 43, 10, 0, 0, 0, 0, 0]"
"2","(2016-09-25 19:40:00,2016-09-25 20:00:00)","0","39","9","[0, 36, 3, 0, 0, 0, 0, 0]"
"1","(2016-09-25 20:00:00,2016-09-25 20:20:00)","1","53","6","[0, 46, 3, 0, 0, 4, 0, 0]"
"1","(2016-09-25 20:00:00,2016-09-25 20:20:00)","0","35","12","[0, 32, 3, 0, 0, 0, 0, 0]"
"3","(2016-09-25 20:00:00,2016-09-25 20:20:00)","1","61","16","[0, 58, 2, 1, 0, 0, 0, 0]"
"3","(2016-09-25 20:00:00,2016-09-25 20:20:00)","0","70","16","[0, 58, 12, 0, 0, 0, 0, 0]"
"2","(2016-09-25 20:00:00,2016-09-25 20:20:00)","0","36","7","[0, 28, 8, 0, 0, 0, 0, 0]"
"1","(2016-09-25 20:20:00,2016-09-25 20:40:00)","1","49","8","[0, 45, 3, 0, 0, 1, 0, 0]"
"1","(2016-09-25 20:20:00,2016-09-25 20:40:00)","0","28","8","[0, 27, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-25 20:20:00,2016-09-25 20:40:00)","1","62","14","[0, 58, 1, 1, 1, 1, 0, 0]"
"3","(2016-09-25 20:20:00,2016-09-25 20:40:00)","0","57","12","[0, 45, 10, 1, 1, 0, 0, 0]"
"2","(2016-09-25 20:20:00,2016-09-25 20:40:00)","0","31","5","[0, 29, 2, 0, 0, 0, 0, 0]"
"1","(2016-09-25 20:40:00,2016-09-25 21:00:00)","1","44","9","[0, 40, 3, 0, 0, 1, 0, 0]"
"1","(2016-09-25 20:40:00,2016-09-25 21:00:00)","0","22","6","[0, 19, 3, 0, 0, 0, 0, 0]"
"3","(2016-09-25 20:40:00,2016-09-25 21:00:00)","1","48","12","[0, 43, 1, 0, 0, 4, 0, 0]"
"3","(2016-09-25 20:40:00,2016-09-25 21:00:00)","0","65","17","[0, 48, 17, 0, 0, 0, 0, 0]"
"2","(2016-09-25 20:40:00,2016-09-25 21:00:00)","0","31","5","[0, 28, 3, 0, 0, 0, 0, 0]"
"1","(2016-09-25 21:00:00,2016-09-25 21:20:00)","1","33","4","[0, 30, 0, 0, 0, 3, 0, 0]"
"1","(2016-09-25 21:00:00,2016-09-25 21:20:00)","0","23","7","[0, 21, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-25 21:00:00,2016-09-25 21:20:00)","1","30","10","[0, 27, 0, 1, 0, 1, 0, 1]"
"3","(2016-09-25 21:00:00,2016-09-25 21:20:00)","0","46","6","[0, 33, 11, 0, 2, 0, 0, 0]"
"2","(2016-09-25 21:00:00,2016-09-25 21:20:00)","0","29","8","[0, 25, 4, 0, 0, 0, 0, 0]"
"1","(2016-09-25 21:20:00,2016-09-25 21:40:00)","1","33","12","[0, 30, 1, 1, 0, 0, 0, 1]"
"1","(2016-09-25 21:20:00,2016-09-25 21:40:00)","0","19","5","[0, 16, 3, 0, 0, 0, 0, 0]"
"3","(2016-09-25 21:20:00,2016-09-25 21:40:00)","1","39","9","[0, 34, 3, 1, 0, 1, 0, 0]"
"3","(2016-09-25 21:20:00,2016-09-25 21:40:00)","0","46","10","[0, 34, 10, 1, 1, 0, 0, 0]"
"2","(2016-09-25 21:20:00,2016-09-25 21:40:00)","0","31","7","[0, 21, 10, 0, 0, 0, 0, 0]"
"1","(2016-09-25 21:40:00,2016-09-25 22:00:00)","1","33","9","[0, 30, 1, 0, 1, 1, 0, 0]"
"1","(2016-09-25 21:40:00,2016-09-25 22:00:00)","0","18","5","[0, 18, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-25 21:40:00,2016-09-25 22:00:00)","1","27","5","[0, 24, 1, 0, 0, 2, 0, 0]"
"3","(2016-09-25 21:40:00,2016-09-25 22:00:00)","0","33","6","[0, 27, 6, 0, 0, 0, 0, 0]"
"2","(2016-09-25 21:40:00,2016-09-25 22:00:00)","0","21","3","[0, 16, 5, 0, 0, 0, 0, 0]"
"1","(2016-09-25 22:00:00,2016-09-25 22:20:00)","1","10","3","[0, 9, 1, 0, 0, 0, 0, 0]"
"1","(2016-09-25 22:00:00,2016-09-25 22:20:00)","0","16","4","[0, 15, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-25 22:00:00,2016-09-25 22:20:00)","1","21","3","[0, 18, 1, 1, 1, 0, 0, 0]"
"3","(2016-09-25 22:00:00,2016-09-25 22:20:00)","0","33","4","[0, 27, 6, 0, 0, 0, 0, 0]"
"2","(2016-09-25 22:00:00,2016-09-25 22:20:00)","0","18","3","[0, 15, 3, 0, 0, 0, 0, 0]"
"1","(2016-09-25 22:20:00,2016-09-25 22:40:00)","1","17","3","[0, 12, 0, 1, 0, 4, 0, 0]"
"1","(2016-09-25 22:20:00,2016-09-25 22:40:00)","0","17","2","[0, 16, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-25 22:20:00,2016-09-25 22:40:00)","1","19","4","[0, 17, 0, 0, 0, 2, 0, 0]"
"3","(2016-09-25 22:20:00,2016-09-25 22:40:00)","0","30","7","[0, 23, 7, 0, 0, 0, 0, 0]"
"2","(2016-09-25 22:20:00,2016-09-25 22:40:00)","0","18","2","[0, 13, 5, 0, 0, 0, 0, 0]"
"1","(2016-09-25 22:40:00,2016-09-25 23:00:00)","1","17","2","[0, 13, 2, 1, 0, 1, 0, 0]"
"1","(2016-09-25 22:40:00,2016-09-25 23:00:00)","0","13","2","[0, 10, 3, 0, 0, 0, 0, 0]"
"3","(2016-09-25 22:40:00,2016-09-25 23:00:00)","1","26","3","[0, 25, 0, 0, 0, 1, 0, 0]"
"3","(2016-09-25 22:40:00,2016-09-25 23:00:00)","0","15","2","[0, 11, 4, 0, 0, 0, 0, 0]"
"2","(2016-09-25 22:40:00,2016-09-25 23:00:00)","0","19","4","[0, 11, 8, 0, 0, 0, 0, 0]"
"1","(2016-09-25 23:00:00,2016-09-25 23:20:00)","1","17","3","[0, 14, 2, 0, 0, 1, 0, 0]"
"1","(2016-09-25 23:00:00,2016-09-25 23:20:00)","0","10","1","[0, 9, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-25 23:00:00,2016-09-25 23:20:00)","1","10","0","[0, 7, 1, 1, 0, 1, 0, 0]"
"3","(2016-09-25 23:00:00,2016-09-25 23:20:00)","0","22","4","[0, 17, 4, 0, 1, 0, 0, 0]"
"2","(2016-09-25 23:00:00,2016-09-25 23:20:00)","0","19","3","[0, 13, 6, 0, 0, 0, 0, 0]"
"1","(2016-09-25 23:20:00,2016-09-25 23:40:00)","1","21","2","[0, 14, 5, 0, 0, 2, 0, 0]"
"1","(2016-09-25 23:20:00,2016-09-25 23:40:00)","0","13","1","[0, 12, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-25 23:20:00,2016-09-25 23:40:00)","1","9","0","[0, 9, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-25 23:20:00,2016-09-25 23:40:00)","0","27","0","[0, 19, 8, 0, 0, 0, 0, 0]"
"2","(2016-09-25 23:20:00,2016-09-25 23:40:00)","0","18","6","[0, 16, 2, 0, 0, 0, 0, 0]"
"1","(2016-09-25 23:40:00,2016-09-26 00:00:00)","1","15","2","[0, 12, 1, 0, 0, 2, 0, 0]"
"1","(2016-09-25 23:40:00,2016-09-26 00:00:00)","0","9","3","[0, 8, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-25 23:40:00,2016-09-26 00:00:00)","1","13","0","[0, 10, 1, 0, 0, 2, 0, 0]"
"3","(2016-09-25 23:40:00,2016-09-26 00:00:00)","0","18","1","[0, 12, 6, 0, 0, 0, 0, 0]"
"2","(2016-09-25 23:40:00,2016-09-26 00:00:00)","0","12","3","[0, 10, 2, 0, 0, 0, 0, 0]"
"1","(2016-09-26 00:00:00,2016-09-26 00:20:00)","1","113","27","[0, 95, 8, 1, 6, 3, 0, 0]"
"1","(2016-09-26 00:00:00,2016-09-26 00:20:00)","0","9","2","[0, 8, 0, 0, 0, 1, 0, 0]"
"3","(2016-09-26 00:00:00,2016-09-26 00:20:00)","1","159","45","[0, 141, 7, 5, 3, 2, 0, 1]"
"3","(2016-09-26 00:00:00,2016-09-26 00:20:00)","0","15","3","[0, 12, 1, 2, 0, 0, 0, 0]"
"1","(2016-09-26 00:20:00,2016-09-26 00:40:00)","1","47","11","[0, 35, 4, 3, 3, 1, 0, 1]"
"1","(2016-09-26 00:20:00,2016-09-26 00:40:00)","0","6","1","[0, 5, 0, 0, 0, 1, 0, 0]"
"3","(2016-09-26 00:20:00,2016-09-26 00:40:00)","1","88","26","[0, 76, 2, 4, 3, 3, 0, 0]"
"3","(2016-09-26 00:20:00,2016-09-26 00:40:00)","0","16","3","[0, 13, 2, 1, 0, 0, 0, 0]"
"2","(2016-09-26 00:20:00,2016-09-26 00:40:00)","0","1","1","[0, 1, 0, 0, 0, 0, 0, 0]"
"1","(2016-09-26 00:40:00,2016-09-26 01:00:00)","1","43","6","[0, 28, 7, 3, 1, 4, 0, 0]"
"1","(2016-09-26 00:40:00,2016-09-26 01:00:00)","0","11","0","[0, 6, 1, 1, 0, 3, 0, 0]"
"3","(2016-09-26 00:40:00,2016-09-26 01:00:00)","1","80","23","[0, 63, 6, 3, 4, 4, 0, 0]"
"3","(2016-09-26 00:40:00,2016-09-26 01:00:00)","0","16","1","[0, 14, 0, 1, 0, 1, 0, 0]"
"1","(2016-09-26 01:00:00,2016-09-26 01:20:00)","1","3","2","[0, 2, 1, 0, 0, 0, 0, 0]"
"1","(2016-09-26 01:00:00,2016-09-26 01:20:00)","0","2","0","[0, 2, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-26 01:00:00,2016-09-26 01:20:00)","1","9","2","[0, 8, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-26 01:00:00,2016-09-26 01:20:00)","0","21","1","[0, 21, 0, 0, 0, 0, 0, 0]"
"1","(2016-09-26 01:20:00,2016-09-26 01:40:00)","1","12","1","[0, 8, 2, 1, 0, 1, 0, 0]"
"1","(2016-09-26 01:20:00,2016-09-26 01:40:00)","0","2","1","[0, 1, 0, 0, 0, 1, 0, 0]"
"3","(2016-09-26 01:20:00,2016-09-26 01:40:00)","1","12","2","[0, 9, 2, 1, 0, 0, 0, 0]"
"3","(2016-09-26 01:20:00,2016-09-26 01:40:00)","0","12","1","[0, 9, 1, 1, 0, 1, 0, 0]"
"2","(2016-09-26 01:20:00,2016-09-26 01:40:00)","0","2","2","[0, 2, 0, 0, 0, 0, 0, 0]"
"1","(2016-09-26 01:40:00,2016-09-26 02:00:00)","1","7","0","[0, 4, 2, 0, 1, 0, 0, 0]"
"1","(2016-09-26 01:40:00,2016-09-26 02:00:00)","0","7","0","[0, 4, 0, 1, 0, 2, 0, 0]"
"3","(2016-09-26 01:40:00,2016-09-26 02:00:00)","1","10","3","[0, 8, 0, 0, 0, 2, 0, 0]"
"3","(2016-09-26 01:40:00,2016-09-26 02:00:00)","0","11","1","[0, 11, 0, 0, 0, 0, 0, 0]"
"1","(2016-09-26 02:00:00,2016-09-26 02:20:00)","1","8","0","[0, 5, 1, 1, 0, 1, 0, 0]"
"1","(2016-09-26 02:00:00,2016-09-26 02:20:00)","0","8","1","[0, 4, 0, 1, 0, 3, 0, 0]"
"3","(2016-09-26 02:00:00,2016-09-26 02:20:00)","1","9","1","[0, 5, 0, 0, 0, 4, 0, 0]"
"3","(2016-09-26 02:00:00,2016-09-26 02:20:00)","0","9","3","[0, 9, 0, 0, 0, 0, 0, 0]"
"1","(2016-09-26 02:20:00,2016-09-26 02:40:00)","1","4","1","[0, 2, 1, 0, 0, 1, 0, 0]"
"1","(2016-09-26 02:20:00,2016-09-26 02:40:00)","0","9","1","[0, 3, 2, 1, 0, 3, 0, 0]"
"3","(2016-09-26 02:20:00,2016-09-26 02:40:00)","1","4","1","[0, 4, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-26 02:20:00,2016-09-26 02:40:00)","0","12","2","[0, 10, 0, 2, 0, 0, 0, 0]"
"1","(2016-09-26 02:40:00,2016-09-26 03:00:00)","1","9","0","[0, 7, 0, 0, 0, 2, 0, 0]"
"1","(2016-09-26 02:40:00,2016-09-26 03:00:00)","0","5","0","[0, 1, 0, 0, 0, 4, 0, 0]"
"3","(2016-09-26 02:40:00,2016-09-26 03:00:00)","1","3","0","[0, 1, 0, 0, 0, 2, 0, 0]"
"3","(2016-09-26 02:40:00,2016-09-26 03:00:00)","0","22","3","[0, 18, 3, 1, 0, 0, 0, 0]"
"1","(2016-09-26 03:00:00,2016-09-26 03:20:00)","1","11","0","[0, 6, 2, 2, 0, 1, 0, 0]"
"1","(2016-09-26 03:00:00,2016-09-26 03:20:00)","0","9","2","[0, 4, 1, 0, 2, 2, 0, 0]"
"3","(2016-09-26 03:00:00,2016-09-26 03:20:00)","1","4","0","[0, 2, 0, 1, 0, 1, 0, 0]"
"3","(2016-09-26 03:00:00,2016-09-26 03:20:00)","0","11","0","[0, 9, 1, 0, 0, 1, 0, 0]"
"1","(2016-09-26 03:20:00,2016-09-26 03:40:00)","1","13","1","[0, 12, 1, 0, 0, 0, 0, 0]"
"1","(2016-09-26 03:20:00,2016-09-26 03:40:00)","0","6","1","[0, 2, 1, 1, 0, 2, 0, 0]"
"3","(2016-09-26 03:20:00,2016-09-26 03:40:00)","1","9","0","[0, 4, 1, 0, 0, 4, 0, 0]"
"3","(2016-09-26 03:20:00,2016-09-26 03:40:00)","0","10","0","[0, 8, 0, 2, 0, 0, 0, 0]"
"1","(2016-09-26 03:40:00,2016-09-26 04:00:00)","1","16","0","[0, 12, 4, 0, 0, 0, 0, 0]"
"1","(2016-09-26 03:40:00,2016-09-26 04:00:00)","0","8","0","[0, 5, 0, 0, 0, 3, 0, 0]"
"3","(2016-09-26 03:40:00,2016-09-26 04:00:00)","1","6","0","[0, 2, 2, 0, 0, 2, 0, 0]"
"3","(2016-09-26 03:40:00,2016-09-26 04:00:00)","0","17","0","[0, 13, 0, 3, 0, 1, 0, 0]"
"1","(2016-09-26 04:00:00,2016-09-26 04:20:00)","1","15","0","[0, 11, 0, 1, 0, 3, 0, 0]"
"1","(2016-09-26 04:00:00,2016-09-26 04:20:00)","0","7","0","[0, 5, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-26 04:00:00,2016-09-26 04:20:00)","1","4","0","[0, 1, 2, 0, 0, 1, 0, 0]"
"3","(2016-09-26 04:00:00,2016-09-26 04:20:00)","0","18","2","[0, 14, 0, 2, 0, 2, 0, 0]"
"1","(2016-09-26 04:20:00,2016-09-26 04:40:00)","1","21","1","[0, 17, 3, 0, 0, 1, 0, 0]"
"1","(2016-09-26 04:20:00,2016-09-26 04:40:00)","0","13","0","[0, 7, 5, 0, 0, 1, 0, 0]"
"3","(2016-09-26 04:20:00,2016-09-26 04:40:00)","1","5","0","[0, 1, 0, 1, 1, 2, 0, 0]"
"3","(2016-09-26 04:20:00,2016-09-26 04:40:00)","0","16","3","[0, 12, 3, 0, 0, 1, 0, 0]"
"1","(2016-09-26 04:40:00,2016-09-26 05:00:00)","1","23","1","[0, 20, 1, 0, 0, 2, 0, 0]"
"1","(2016-09-26 04:40:00,2016-09-26 05:00:00)","0","13","1","[0, 7, 3, 1, 0, 2, 0, 0]"
"3","(2016-09-26 04:40:00,2016-09-26 05:00:00)","1","9","0","[0, 3, 1, 3, 0, 2, 0, 0]"
"3","(2016-09-26 04:40:00,2016-09-26 05:00:00)","0","17","1","[0, 14, 2, 0, 0, 1, 0, 0]"
"1","(2016-09-26 05:00:00,2016-09-26 05:20:00)","1","21","2","[0, 18, 1, 0, 0, 2, 0, 0]"
"1","(2016-09-26 05:00:00,2016-09-26 05:20:00)","0","6","0","[0, 4, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-26 05:00:00,2016-09-26 05:20:00)","1","12","2","[0, 8, 3, 0, 1, 0, 0, 0]"
"3","(2016-09-26 05:00:00,2016-09-26 05:20:00)","0","9","1","[0, 3, 6, 0, 0, 0, 0, 0]"
"2","(2016-09-26 05:00:00,2016-09-26 05:20:00)","0","11","0","[0, 3, 8, 0, 0, 0, 0, 0]"
"1","(2016-09-26 05:20:00,2016-09-26 05:40:00)","1","37","0","[0, 26, 6, 3, 0, 2, 0, 0]"
"1","(2016-09-26 05:20:00,2016-09-26 05:40:00)","0","4","1","[0, 3, 1, 0, 0, 0, 0, 0]"
"3","(2016-09-26 05:20:00,2016-09-26 05:40:00)","1","9","3","[0, 6, 1, 1, 1, 0, 0, 0]"
"3","(2016-09-26 05:20:00,2016-09-26 05:40:00)","0","16","3","[0, 11, 5, 0, 0, 0, 0, 0]"
"2","(2016-09-26 05:20:00,2016-09-26 05:40:00)","0","13","2","[0, 10, 3, 0, 0, 0, 0, 0]"
"1","(2016-09-26 05:40:00,2016-09-26 06:00:00)","1","42","5","[0, 34, 5, 0, 1, 2, 0, 0]"
"1","(2016-09-26 05:40:00,2016-09-26 06:00:00)","0","10","0","[0, 7, 3, 0, 0, 0, 0, 0]"
"3","(2016-09-26 05:40:00,2016-09-26 06:00:00)","1","14","1","[0, 9, 1, 1, 0, 3, 0, 0]"
"3","(2016-09-26 05:40:00,2016-09-26 06:00:00)","0","26","6","[0, 20, 6, 0, 0, 0, 0, 0]"
"2","(2016-09-26 05:40:00,2016-09-26 06:00:00)","0","27","5","[0, 16, 11, 0, 0, 0, 0, 0]"
"1","(2016-09-26 06:00:00,2016-09-26 06:20:00)","1","31","5","[0, 25, 2, 2, 0, 2, 0, 0]"
"1","(2016-09-26 06:00:00,2016-09-26 06:20:00)","0","13","2","[0, 11, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-26 06:00:00,2016-09-26 06:20:00)","1","22","3","[0, 19, 1, 0, 1, 1, 0, 0]"
"3","(2016-09-26 06:00:00,2016-09-26 06:20:00)","0","42","3","[0, 28, 14, 0, 0, 0, 0, 0]"
"2","(2016-09-26 06:00:00,2016-09-26 06:20:00)","0","25","3","[0, 18, 7, 0, 0, 0, 0, 0]"
"1","(2016-09-26 06:20:00,2016-09-26 06:40:00)","1","61","9","[0, 38, 15, 3, 1, 4, 0, 0]"
"1","(2016-09-26 06:20:00,2016-09-26 06:40:00)","0","23","7","[0, 23, 0, 0, 0, 0, 0, 0]"
"3","(2016-09-26 06:20:00,2016-09-26 06:40:00)","1","49","7","[0, 34, 8, 6, 1, 0, 0, 0]"
"3","(2016-09-26 06:20:00,2016-09-26 06:40:00)","0","67","16","[0, 46, 20, 0, 1, 0, 0, 0]"
"2","(2016-09-26 06:20:00,2016-09-26 06:40:00)","0","40","11","[0, 34, 6, 0, 0, 0, 0, 0]"
"1","(2016-09-26 06:40:00,2016-09-26 07:00:00)","1","66","8","[0, 48, 12, 2, 1, 3, 0, 0]"
"1","(2016-09-26 06:40:00,2016-09-26 07:00:00)","0","39","14","[0, 32, 5, 1, 1, 0, 0, 0]"
"3","(2016-09-26 06:40:00,2016-09-26 07:00:00)","1","66","15","[0, 52, 7, 3, 3, 1, 0, 0]"
"3","(2016-09-26 06:40:00,2016-09-26 07:00:00)","0","92","30","[0, 75, 14, 1, 2, 0, 0, 0]"
"2","(2016-09-26 06:40:00,2016-09-26 07:00:00)","0","73","22","[0, 59, 13, 1, 0, 0, 0, 0]"
"1","(2016-09-26 07:00:00,2016-09-26 07:20:00)","1","91","17","[0, 75, 8, 3, 1, 4, 0, 0]"
"1","(2016-09-26 07:00:00,2016-09-26 07:20:00)","0","44","12","[0, 36, 7, 0, 1, 0, 0, 0]"
"3","(2016-09-26 07:00:00,2016-09-26 07:20:00)","1","83","28","[0, 76, 5, 1, 1, 0, 0, 0]"
"3","(2016-09-26 07:00:00,2016-09-26 07:20:00)","0","159","52","[0, 135, 16, 3, 5, 0, 0, 0]"
"2","(2016-09-26 07:00:00,2016-09-26 07:20:00)","0","88","33","[0, 83, 4, 0, 1, 0, 0, 0]"
"1","(2016-09-26 07:20:00,2016-09-26 07:40:00)","1","120","30","[0, 107, 4, 3, 2, 3, 0, 1]"
"1","(2016-09-26 07:20:00,2016-09-26 07:40:00)","0","39","10","[0, 37, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-26 07:20:00,2016-09-26 07:40:00)","1","87","22","[0, 83, 2, 1, 0, 1, 0, 0]"
"3","(2016-09-26 07:20:00,2016-09-26 07:40:00)","0","162","58","[0, 146, 14, 2, 0, 0, 0, 0]"
"2","(2016-09-26 07:20:00,2016-09-26 07:40:00)","0","114","50","[0, 108, 4, 1, 1, 0, 0, 0]"
"1","(2016-09-26 07:40:00,2016-09-26 08:00:00)","1","116","29","[0, 99, 8, 3, 2, 4, 0, 0]"
"1","(2016-09-26 07:40:00,2016-09-26 08:00:00)","0","46","19","[0, 44, 2, 0, 0, 0, 0, 0]"
"3","(2016-09-26 07:40:00,2016-09-26 08:00:00)","1","137","40","[0, 128, 5, 2, 1, 0, 0, 1]"
"3","(2016-09-26 07:40:00,2016-09-26 08:00:00)","0","151","53","[0, 134, 14, 0, 3, 0, 0, 0]"
"2","(2016-09-26 07:40:00,2016-09-26 08:00:00)","0","126","54","[0, 118, 6, 1, 1, 0, 0, 0]"
"1","(2016-09-26 08:00:00,2016-09-26 08:20:00)","1","125","34","[0, 114, 7, 1, 1, 2, 0, 0]"
"1","(2016-09-26 08:00:00,2016-09-26 08:20:00)","0","49","15","[0, 42, 5, 2, 0, 0, 0, 0]"
"3","(2016-09-26 08:00:00,2016-09-26 08:20:00)","1","138","49","[0, 132, 5, 1, 0, 0, 0, 0]"
"3","(2016-09-26 08:00:00,2016-09-26 08:20:00)","0","180","58","[0, 162, 16, 0, 2, 0, 0, 0]"
"2","(2016-09-26 08:00:00,2016-09-26 08:20:00)","0","117","33","[0, 110, 7, 0, 0, 0, 0, 0]"
"1","(2016-09-26 08:20:00,2016-09-26 08:40:00)","1","91","23","[0, 84, 4, 2, 0, 1, 0, 0]"
"1","(2016-09-26 08:20:00,2016-09-26 08:40:00)","0","52","15","[0, 49, 3, 0, 0, 0, 0, 0]"
"3","(2016-09-26 08:20:00,2016-09-26 08:40:00)","1","164","48","[0, 151, 9, 3, 0, 1, 0, 0]"
"3","(2016-09-26 08:20:00,2016-09-26 08:40:00)","0","172","49","[0, 149, 22, 1, 0, 0, 0, 0]"
"2","(2016-09-26 08:20:00,2016-09-26 08:40:00)","0","130","48","[0, 116, 10, 2, 2, 0, 0, 0]"
"1","(2016-09-26 08:40:00,2016-09-26 09:00:00)","1","116","32","[0, 101, 8, 1, 6, 0, 0, 0]"
"1","(2016-09-26 08:40:00,2016-09-26 09:00:00)","0","45","15","[0, 43, 1, 1, 0, 0, 0, 0]"
